cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean,linkage_p_success_p95
student,100,gender,gender,suppress_k,5,500,0.0017600000000000003,0.01,0.020560000000000002,0.04,4.906,7.0499999999999545,0.0017600000000000003,0.01,0.020560000000000002,0.04,2.996,3.0,,
student,100,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,100,gender+age_exact,gender|age_exact,none,5,500,0.0694,0.11,0.36936,0.49,1.002,1.0,0.0694,0.11,0.36936,0.49,26.482,30.0,,
student,100,gender+age_exact,gender|age_exact,age_bands,5,500,0.011920000000000002,0.03,0.030060000000000003,0.06,1.564,4.0,0.011920000000000002,0.03,0.030060000000000003,0.06,5.928,7.0,,
student,100,gender+age_exact,gender|age_exact,suppress_k,5,500,0.0,0.0,0.0,0.0,5.038,5.0,0.0,0.0,0.0,0.0,10.448,13.0,,
student,100,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.3674283249133521,,,,,,0.3674283249133521,,,,,,,
student,100,gender+age_band+status,gender|age_band|student_status,none,5,500,0.036680000000000004,0.06,0.13434000000000001,0.2,1.016,1.0,0.036680000000000004,0.06,0.13434000000000001,0.2,12.052,15.0,,
student,100,gender+age_band+status,gender|age_band|student_status,suppress_k,5,500,0.0,0.0,0.00026000000000000003,0.0,6.644,10.0,0.0,0.0,0.00026000000000000003,0.0,5.736,7.0,,
student,100,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,100,gender+age_exact+status,gender|age_exact|student_status,none,5,500,0.18036000000000002,0.24,0.54462,0.68,1.0,1.0,0.18036000000000002,0.24,0.54462,0.68,38.246,44.0,,
student,100,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,500,0.036719999999999996,0.06,0.1361,0.2,1.012,1.0,0.036719999999999996,0.06,0.1361,0.2,12.062,14.0,,
student,100,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,500,0.0,0.0,0.0,0.0,5.056,5.0499999999999545,0.0,0.0,0.0,0.0,8.212,10.0,,
student,100,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.22156857147284292,,,,,,0.22156857147284292,,,,,,,
student,100,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,500,0.12264000000000001,0.18,0.3536,0.46,1.0,1.0,0.12264000000000001,0.18,0.3536,0.46,28.884,33.0,,
student,100,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,500,0.0,0.0,0.0,0.0,5.37,7.0,0.0,0.0,0.0,0.0,8.972,10.049999999999955,,
student,100,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.31058500710781756,,,,,,0.31058500710781756,,,,,,,
student,200,gender,gender,none,5,500,0.0019000000000000002,0.005,0.017370000000000003,0.035,2.23,5.0,0.0019000000000000002,0.005,0.017370000000000003,0.035,3.85,4.0,,
student,200,gender,gender,suppress_k,5,500,0.00065,0.005,0.00809,0.02,3.858,7.0,0.00065,0.005,0.00809,0.02,3.324,4.0,,
student,200,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,200,gender+age_exact,gender|age_exact,none,5,500,0.039330000000000004,0.06,0.12344,0.17,1.0,1.0,0.039330000000000004,0.06,0.12344,0.17,31.5,35.0,,
student,200,gender+age_exact,gender|age_exact,age_bands,5,500,0.0061600000000000005,0.015,0.024250000000000008,0.04024999999999977,1.364,3.0,0.0061600000000000005,0.015,0.024250000000000008,0.04024999999999977,6.834,8.0,,
student,200,gender+age_exact,gender|age_exact,suppress_k,5,500,0.0,0.0,0.0,0.0,5.258,6.0,0.0,0.0,0.0,0.0,18.636,21.0,,
student,200,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
student,200,gender+age_band+status,gender|age_band|student_status,none,5,500,0.017360000000000004,0.03,0.07971,0.115,1.024,1.0,0.017360000000000004,0.03,0.07971,0.115,14.638,17.0,,
student,200,gender+age_band+status,gender|age_band|student_status,suppress_k,5,500,0.0,0.0,0.0,0.0,5.942,9.0,0.0,0.0,0.0,0.0,7.658,9.0,,
student,200,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
