cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean
student,50,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,3000,0.07142,0.12,0.22301999999999997,0.34,1.013,1.0,0.07142,0.12,0.22301999999999997,0.34,9.568333333333333,12.0,
student,50,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,3000,0.0,0.0,0.0,0.0,16.626,50.0,0.0,0.0,0.0,0.0,2.138333333333333,4.0,
student,50,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.12858836658252337,,,,,,0.12858836658252337,,,,,,
student,50,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,3000,0.20616,0.3,0.6477866666666667,0.86,1.0,1.0,0.20616,0.3,0.6477866666666667,0.86,21.252,25.0,
student,50,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.6866666666666665,7.0,0.0,0.0,0.0,0.0,3.9326666666666665,6.0,
student,50,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.2016246211188936,,,,,,0.2016246211188936,,,,,,
student,100,gender,gender,none,5,3000,0.006523333333333332,0.02,0.026743333333333334,0.05,4.007333333333333,39.0,0.006523333333333332,0.02,0.026743333333333334,0.05,3.4883333333333333,4.0,
student,100,gender,gender,suppress_k,5,3000,0.0017400000000000002,0.01,0.020023333333333334,0.04,5.201666666666667,39.0,0.0017400000000000002,0.01,0.020023333333333334,0.04,2.9793333333333334,3.0,
student,100,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
student,100,gender+age_exact,gender|age_exact,none,5,3000,0.06897,0.11,0.3652066666666666,0.49,1.0003333333333333,1.0,0.06897,0.11,0.3652066666666666,0.49,26.416,30.0,
student,100,gender+age_exact,gender|age_exact,age_bands,5,3000,0.01213,0.03,0.02928,0.06,1.728,6.0,0.01213,0.03,0.02928,0.06,5.913666666666667,7.0,
student,100,gender+age_exact,gender|age_exact,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.043666666666667,5.0,0.0,0.0,0.0,0.0,10.547666666666666,13.0,
student,100,gender+age_exact,gender|age_exact,analytic_uniform_heuristic,5,0,0.3674283249133521,,,,,,0.3674283249133521,,,,,,
student,100,gender+age_band+status,gender|age_band|student_status,none,5,3000,0.036623333333333334,0.06,0.13380666666666668,0.2,1.0123333333333333,1.0,0.036623333333333334,0.06,0.13380666666666668,0.2,12.010666666666667,15.0,
student,100,gender+age_band+status,gender|age_band|student_status,suppress_k,5,3000,0.0,0.0,0.00023666666666666668,0.0,6.703666666666667,11.0,0.0,0.0,0.00023666666666666668,0.0,5.700333333333333,7.0,
student,100,gender+age_band+status,gender|age_band|student_status,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
student,100,gender+age_exact+status,gender|age_exact|student_status,none,5,3000,0.17507666666666669,0.24,0.5476966666666667,0.6804999999999973,1.0,1.0,0.17507666666666669,0.24,0.5476966666666667,0.6804999999999973,37.907,43.0,0.04476666666666667
student,100,gender+age_exact+status,gender|age_exact|student_status,age_bands,5,3000,0.03680666666666667,0.06,0.13476333333333332,0.2,1.0136666666666667,1.0,0.03680666666666667,0.06,0.13476333333333332,0.2,12.025666666666666,15.0,
student,100,gender+age_exact+status,gender|age_exact|student_status,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.056666666666667,6.0,0.0,0.0,0.0,0.0,8.172666666666666,11.0,
student,100,gender+age_exact+status,gender|age_exact|student_status,analytic_uniform_heuristic,5,0,0.22156857147284292,,,,,,0.22156857147284292,,,,,,
student,100,gender+age_band+status+week,gender|age_band|student_status|completion_week,none,5,3000,0.12349333333333334,0.18,0.35513333333333336,0.46,1.0,1.0,0.12349333333333334,0.18,0.35513333333333336,0.46,29.026333333333334,34.0,
student,100,gender+age_band+status+week,gender|age_band|student_status|completion_week,suppress_k,5,3000,0.0,0.0,0.0,0.0,5.342333333333333,7.0,0.0,0.0,0.0,0.0,8.956,11.0,
student,100,gender+age_band+status+week,gender|age_band|student_status|completion_week,analytic_uniform_heuristic,5,0,0.31058500710781756,,,,,,0.31058500710781756,,,,,,
student,200,gender,gender,none,5,3000,0.001735,0.005,0.017449999999999997,0.035,2.4463333333333335,5.0,0.001735,0.005,0.017449999999999997,0.035,3.8426666666666667,4.0,
student,200,gender,gender,suppress_k,5,3000,0.0006083333333333333,0.005,0.008343333333333335,0.02,4.020666666666667,7.0,0.0006083333333333333,0.005,0.008343333333333335,0.02,3.3353333333333333,4.0,
student,200,gender,gender,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,
student,200,gender+age_exact,gender|age_exact,none,5,3000,0.03927166666666667,0.06,0.122415,0.175,1.0,1.0,0.03927166666666667,0.06,0.122415,0.175,31.418333333333333,35.0,
